# "Long-form" encoding of the complete PAD data
#
# date   : 2013-11-26 10:07:24
# source : /sources/original_corrected.csv
#
# Each word in the data is put on a separate line, and is given an unique ID in the first column.
# These IDs are also used in the alignment files.
# The column CONCEPT lists the meaning-designation as used in the original data.
# Because this is dialect data, almost all words with the same meaning are also cognate, but not all!
# Also, some cognate words were distinguished in the original data (e.g. "Äpfeln" and "Äpfelchen").
# There were also a few erroneous classifications (e.g. between "recht" and "lauter").
# Some words have been divided into separate cognate sets (e.g. various non-cognate words for "Dienstag").
# The column COUNTERPART lists the actual form as originally transcribed.
# The column CONCEPTID lists the numbers as used in the original data
# The column DOCULECT lists the short name of the village. See /data/doculects.csv for more info on each village.
# The column TOKENS lists a tokenization of the original transcription into phonetic units (according to the transcription!).
# The column COGID lists a separate ID for all words that are actually cognate. These IDs are summarized in the file /data/cognatesets.csv
#
ID	CONCEPT	COUNTERPART	CONCEPTID	DOCULECT	TOKENS	COGID
10502	Affe	ɑ̣və	69	Osterhagen	ɑ̣ v ə	1004
#
16813	Apfelbäume	ɛβəlpæ̃→ə̣̰̃m	111	Weyhers	ɛ β ə l p æ̃→ə̣̰̃ m	1010
16814	Apfelbäume	apəlpø͡ʏ̰mɛ̤	111	Holmkjer	a p ə l p ø͡ʏ̰ m ɛ̤	1010
16815	Apfelbäume	a̠̤ɸl̩pe̜ːm	111	Ebertshausen	a̠̤ ɸ l̩ p e̜ː m	1010
16816	Apfelbäume	ɑʾb.l̩bɔ̟ʿ→ʏʿmə̃	111	Landgrafroda	ɑʾ b l̩ b ɔ̟ʿ→ʏʿ m ə̃	1010
16817	Apfelbäume	ʔɛp.l̩peːmə	111	Rammenau	ʔ ɛ p l̩ p eː m ə	1010
16818	Apfelbäume	ɛ̣pəlbɛ̣͡e̜mə	111	Dexbach	ɛ̣ p ə l b ɛ̣͡e̜ m ə	1010
16819	Apfelbäume	ɛpl̩pe̜m	111	Lohrhaupten	ɛ p l̩ p e̜ m	1010
16820	Apfelbäume	ɑ̟bl̩bɤ→ɪm	111	Diekhusen	ɑ̟ b l̩ b ɤ→ɪ m	1010
16821	Apfelbäume	ɛpəlbœ̣ːm	111	Siebenbach	ɛ p ə l b œ̣ː m	1010
16822	Apfelbäume	æ̣bəɭbɤ̜→ʏmə̟	111	Rosswein	æ̣ b ə ɭ b ɤ̜→ʏ m ə̟	1010
16823	Apfelbäume	ɛpl̩peːmə	111	Rosenthal	ɛ p l̩ p eː m ə	1010
16824	Apfelbäume	a̠p.l̩pe̠ːmə̟̃	111	Pretzsch(El)	a̠ p l̩ p e̠ː m ə̟̃	1010
16825	Apfelbäume	æp̰͡fl̩̰sbɛ̠→ɪ̠m	111	Helmers	æ p̰͡f l̩̰ s b ɛ̠→ɪ̠ m	1010
16826	Apfelbäume	ɑ̟pɭ̩pø→œ̠m	111	Vietmannsdorf	ɑ̟ p ɭ̩ p ø→œ̠ m	1010
16827	Apfelbäume	ɛ̜phlpoʿb.m̩	111	Vietmannsdorf	ɛ̜ ph l p oʿ b m̩	1010
16828	Apfelbäume	æb.l̩peːmə	111	Jonsdorf	æ b l̩ p eː m ə	1010
16829	Apfelbäume	a̠p.l̩pẹ→əm	111	Oberwürzbach	a̠ p l̩ p ẹ→ə m	1010
16830	Apfelbäume	abl̩bøːmə	111	Stöcken	a b l̩ b øː m ə	1010
16831	Apfelbäume	ɑ̟bəlbø→ɪm	111	Bardenfleth	ɑ̟ b ə l b ø→ɪ m	1010
16832	Apfelbäume	e̜p.l̩pa̠ːm̥	111	Einöllen	e̜ p l̩ p a̠ː m̥	1010
16833	Apfelbäume	‿ʊp͡fəpam	111	Klafferstrass	ʊ p͡f ə p a m	1010
16834	Apfelbäume	ʌʾp͡fl̩pa̠→ɪmɔ̃	111	Theuma	ʌʾ p͡f l̩ p a̠→ɪ m ɔ̃	1010
16835	Apfelbäume	apəlbɤ→ɪmə	111	Reelkirchen	a p ə l b ɤ→ɪ m ə	1010
16836	Apfelbäume	a̠ɸəlpeːm	111	Exdorf	a̠ ɸ ə l p eː m	1010
16837	Apfelbäume	ɛp͡fl̩pɐ̟ɪm	111	Hermannsreuth	ɛ p͡f l̩ p ɐ̟ ɪ m	1010
16838	Apfelbäume	ap͡fə̟ʾlbœ̠→ɪ̠mə̟ʾ	111	Jacobsdorf	a p͡f ə̟ʾ l b œ̠→ɪ̠ m ə̟ʾ	1010
16839	Apfelbäume	abəlbøːmə	111	Barssel	a b ə l b øː m ə	1010
16840	Apfelbäume	ạp.l̩beʾːmə̃	111	Hundisburg	ạ p l̩ b eʾː m ə̃	1010
16841	Apfelbäume	abə̰lbɤ→ɪʾ	111	Jesteburg	a b ə̰ l b ɤ→ɪʾ	1010
16842	Apfelbäume	aphəlβø̜→ɪ̜m	111	Jesteburg	a ph ə l β ø̜→ɪ̜ m	1010
16843	Apfelbäume	a̠ːpəlpẹm	111	Bruch	a̠ː p ə l p ẹ m	1010
16844	Apfelbäume	a̠p͡ɸl̩b̩a̠→ɪm	111	Unterellen	a̠ p͡ɸ l̩ b̩ a̠→ɪ m	1010
16845	Apfelbäume	‿œ̣ʿːp̰͡fəlpʌm	111	Kemmern	œ̣ʿː p̰͡f ə l p ʌ m	1010
16846	Apfelbäume	ɑp.ɫ̩bø͡ʏm	111	Iversheim	ɑ p ɫ̩ b ø͡ʏ m	1010
