# Names of cognate sets, with indication of the original context
#
# The column COGNATE lists the names as used in the naming of the alignment files.
# The columns COGNATE_ID lists the COGIDs as used in the file "words.csv".
# e.g. /PAD/alignments/corrected/abend_1001.mca is a valid path to an alignment file.
# All COGNATE_IDs starting from 1188 in the file "words.csv" do not have an alignment file
# They occur only incidentally in the data (maximally 12 occurrences for "Zaterdag" and "Pfinztag")
#
# The column NUMBER_OF_WORDS lists how many words are available for in each alignment.
# The column WENKER_ID lists the number of sentence in which this word occurs (cf. http://staff-www.uni-marburg.de/~naeser/wenker.htm).
# The column WENKER_SENTENCE shows the original context in which the words occurred. 
# Note that there are a few words that occur multiple times in the text.
# We have no way to reconstruct which of these occurrences were selected in the phonetic transcription.
# We have chosen one context here to represent each cognate set
# Weekdays and numerals were collected separately, so when not present in the sentences, they are marked as NA.
#
COGNATE	COGNATE_ID	NUMBER_OF_WORDS	WENKER_ID	WENKER_SENTENCE
sie	1138	163	9	Ich bin selber bei der Frau gewesen und habe es ihr gesagt, und sie sagte, sie wolle es auch ihrer Tochter sagen.
sieben	1139	185	NA	NA
so	1140	166	17	Geh, sei so gut und sag deiner Schwester, sie soll die Kleider für eure Mutter fertig nähen und mit der Bürste rein machen.
sollen	1141	150	12	Wo gehst du hin? Sollen wir mitgehen (mit dir gehen)?
Sonntag	1143	196	NA	NA
Stueckchen	1144	179	32	Habt ihr kein Stückchen weiße Seife auf meinem Tisch gefunden?
Tisch	1145	177	32	Habt ihr kein Stückchen weiße Seife auf meinem Tisch gefunden?
Tochter	1146	169	9	Ich bin selber bei der Frau gewesen und habe es ihr gesagt, und sie sagte, sie wolle es auch ihrer Tochter sagen.
tot	1147	181	14	Mein liebes Kind, bleib hier unten stehen, die bösen Gänse beissen dich tot.
treiben	1148	53	28	Ihr dürft nicht solche Kindereien treiben.
tu	1149	145	3	Tu Kohlen in den Ofen, damit die Milch bald zu kochen anfängt.
tut	1150	123	39	Geh nur, der braune Hund tut dir nichts.
ueber	1151	179	40	Ich bin mit den Leuten da hinten über die Wiese ins Korn gefahren.
um	1152	110	11	Ich schlage dich gleich mit dem Kochlöffel um die Ohren, du Affe.
und	1153	181	4	Der gute alte Mann ist mit dem Pferd auf dem Eis eingebrochen und in das kalte Wasser gefallen.
uns	1154	55	22	Man muss laut schreien, sonst versteht er uns nicht.
unsere	1155	57	29	Unsere Berge sind nicht so hoch, die euren sind viel höher.
unserem	1156	128	26	Hinter unserem Hause stehen drei schöne Apfelbäume mit roten Äpfelchen.
unten	1157	169	14	Mein liebes Kind, bleib hier unten stehen, die bösen Gänse beissen dich tot.
verkaufen	1158	186	37	Die Bauern hatten fünf Ochsen und neun Kühe und zwölf Schäfchen vor das Dorf gebracht, die wollten sie verkaufen.
versteht	1159	124	22	Man muss laut schreien, sonst versteht er uns nicht.
viel	1160	170	29	Unsere Berge sind nicht so hoch, die euren sind viel höher.
vier	1161	240	5	Er ist vor vier oder sechs Wochen gestorben.
von	1162	192	34	Das Wort kam ihm von Herzen.
vor	1163	107	5	Er ist vor vier oder sechs Wochen gestorben.
wachsen	1164	186	16	Du bist noch nicht groß genug, um eine Flasche Wein allein auszutrinken, du musst erst noch wachsen und größer werden.
waere	1165	100	18	Hättest du ihn gekannt! Dann wäre es anders gekommen, und es täte besser um ihn stehen.
was	1166	55	36	Was sitzen da für Vögelchen oben auf dem Mäuerchen?
Wasser	1167	178	4	Der gute alte Mann ist mit dem Pferd auf dem Eis eingebrochen und in das kalte Wasser gefallen.
weh	1168	238	8	Die Füße tun mir weh, ich glaube, ich habe sie durchgelaufen.
Wein	1169	129	16	Du bist noch nicht groß genug, um eine Flasche Wein allein auszutrinken, du musst erst noch wachsen und größer werden.
weisse	1170	185	32	Habt ihr kein Stückchen weiße Seife auf meinem Tisch gefunden?
wem	1171	159	21	Wem hat er die neue Geschichte erzählt?
werden	1172	185	16	Du bist noch nicht groß genug, um eine Flasche Wein allein auszutrinken, du musst erst noch wachsen und größer werden.
Wetter	1173	157	2	Es hört gleich auf zu schneien, dann wird das Wetter wieder besser.
wieviel	1175	289	30	Wieviel Pfund Wurst und wieviel Brot wollt ihr haben?
will	1176	107	33	Sein Bruder will sich zwei schöne neue Häuser in eurem Garten bauen.
Winter	1177	186	1	Im Winter fliegen die trockenen Blätter in der Luft herum.
wo	1178	186	12	Wo gehst du hin? Sollen wir mitgehen (mit dir gehen)?
Wochen	1179	185	5	Er ist vor vier oder sechs Wochen gestorben.
wollt	1180	100	30	Wieviel Pfund Wurst und wieviel Brot wollt ihr haben?
Wort	1181	184	34	Das Wort kam ihm von Herzen.
Wurst	1182	191	30	Wieviel Pfund Wurst und wieviel Brot wollt ihr haben?
zehn	1183	185	NA	NA
Zeiten	1184	185	13	Das /es sind schlechte Zeiten.
zum	1185	131	20	Er tat so, als hätten sie ihn zum Dreschen bestellt (; sie haben es aber selbst getan).
zwei	1186	360	33	Sein Bruder will sich zwei schöne neue Häuser in eurem Garten bauen.
zwoelf	1187	233	37	Die Bauern hatten fünf Ochsen und neun Kühe und zwölf Schäfchen vor das Dorf gebracht, die wollten sie verkaufen.
